id,etiqueta,grupo,tipo,rango,default,osc,osc_norm,fuentes
master.brightness,Brillo master,master,float,0 .. 1,1,/p/master/brightness,/pn/master/brightness,
master.blackout,Blackout,master,bool,false | true,false,/p/master/blackout,/pn/master/blackout,
master.bloomEnabled,Bloom on,master,bool,false | true,true,/p/master/bloomEnabled,/pn/master/bloomEnabled,
master.quality,Calidad,master,enum,ultra | high | medium | low,high,/p/master/quality,/pn/master/quality,
bloom.strength,Bloom fuerza,bloom,float,0 .. 2,0.9,/p/bloom/strength,/pn/bloom/strength,
bloom.radius,Bloom radio,bloom,float,0 .. 1,0.8,/p/bloom/radius,/pn/bloom/radius,
bloom.threshold,Bloom umbral,bloom,float,0 .. 1,0,/p/bloom/threshold,/pn/bloom/threshold,
ao.enabled,Ambient occlusion,ao,bool,false | true,true,/p/ao/enabled,/pn/ao/enabled,
ao.amount,Intensidad AO,ao,float,0 .. 1,1,/p/ao/amount,/pn/ao/amount,
ao.distance,Radio AO (m),ao,float,0.01 .. 1,0.1,/p/ao/distance,/pn/ao/distance,
ao.thickness,Grosor AO,ao,float,0.05 .. 4,0.6,/p/ao/thickness,/pn/ao/thickness,
ao.contrast,Contraste AO,ao,float,0.25 .. 4,1.6,/p/ao/contrast,/pn/ao/contrast,
ao.samples,Muestras AO,ao,int,4 .. 32,16,/p/ao/samples,/pn/ao/samples,
ao.resolutionScale,Resolución AO,ao,float,0.25 .. 1,0.5,/p/ao/resolutionScale,/pn/ao/resolutionScale,
ao.denoise,Suavizado AO,ao,float,0 .. 12,5,/p/ao/denoise,/pn/ao/denoise,
render.msaa,Antialiasing 3D (MSAA),render,bool,false | true,true,/p/render/msaa,/pn/render/msaa,
scene.current,Escena actual,scene,enum,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29,1,/p/scene/current,/pn/scene/current,
warning.band,Banda,warning,float,0 .. 1,0,/p/warning/band,/pn/warning/band,
warning.bg,Fondo (chevrones),warning,float,0 .. 1,0,/p/warning/bg,/pn/warning/bg,
warning.scroll,Scroll texto (px/s),warning,float,-200 .. 200,0,/p/warning/scroll,/pn/warning/scroll,
warning.pulseAttack,Pulso ataque (s),warning,float,0.1 .. 10,1,/p/warning/pulseAttack,/pn/warning/pulseAttack,
warning.pulseRelease,Pulso caída (s),warning,float,0.1 .. 10,2,/p/warning/pulseRelease,/pn/warning/pulseRelease,
warning.bgPulse,Latido del fondo,warning,float,0 .. 1,0,/p/warning/bgPulse,/pn/warning/bgPulse,
warning.bgPulseRate,Latido (Hz),warning,float,0.05 .. 6,0.5,/p/warning/bgPulseRate,/pn/warning/bgPulseRate,
grid.opacity,Grillas,grid,float,0 .. 1,0,/p/grid/opacity,/pn/grid/opacity,
grid.lineWidth,Grosor línea (px),grid,int,1 .. 8,1,/p/grid/lineWidth,/pn/grid/lineWidth,
grid.brightness,Brillo,grid,float,0 .. 1,0.6,/p/grid/brightness,/pn/grid/brightness,
grid.cellW,Celda ancho (px),grid,int,8 .. 1008,96,/p/grid/cellW,/pn/grid/cellW,
grid.cellH,Celda alto (px),grid,int,8 .. 1008,96,/p/grid/cellH,/pn/grid/cellH,
grid.coarse,Celdas gruesas,grid,bool,false | true,false,/p/grid/coarse,/pn/grid/coarse,
grid.scrollSpeed,Scroll (px/s),grid,float,0 .. 400,12,/p/grid/scrollSpeed,/pn/grid/scrollSpeed,
grid.pixelSnap,Ajuste a píxel,grid,bool,false | true,true,/p/grid/pixelSnap,/pn/grid/pixelSnap,
grid.fadeTime,Fade grilla gruesa (s),grid,float,0 .. 2,0.15,/p/grid/fadeTime,/pn/grid/fadeTime,
grid.offsetTime,Corrimiento: duración (s),grid,float,0 .. 3,0.35,/p/grid/offsetTime,/pn/grid/offsetTime,
grid.offsetStep,Corrimiento: paso (px),grid,float,1 .. 1008,42,/p/grid/offsetStep,/pn/grid/offsetStep,
grid.offsetEase,Corrimiento: curva,grid,enum,smooth | out | linear,smooth,/p/grid/offsetEase,/pn/grid/offsetEase,
grid.offsetAxis,Corrimiento: eje,grid,enum,vertical | horizontal | ambos | random,vertical,/p/grid/offsetAxis,/pn/grid/offsetAxis,
grid.b1.enabled,Bloque 1,grid,bool,false | true,false,/p/grid/b1/enabled,/pn/grid/b1/enabled,
grid.b1.dir,Bloque 1 sentido,grid,int,-1 .. 1,1,/p/grid/b1/dir,/pn/grid/b1/dir,
grid.b1.speedMul,Bloque 1 vel.,grid,float,0 .. 3,1,/p/grid/b1/speedMul,/pn/grid/b1/speedMul,
grid.b1.offsetY,Bloque 1 offset Y,grid,float,0 .. 1008,0,/p/grid/b1/offsetY,/pn/grid/b1/offsetY,
grid.b1.offsetX,Bloque 1 offset X,grid,float,-1008 .. 1008,0,/p/grid/b1/offsetX,/pn/grid/b1/offsetX,
grid.b2.enabled,Bloque 2,grid,bool,false | true,false,/p/grid/b2/enabled,/pn/grid/b2/enabled,
grid.b2.dir,Bloque 2 sentido,grid,int,-1 .. 1,1,/p/grid/b2/dir,/pn/grid/b2/dir,
grid.b2.speedMul,Bloque 2 vel.,grid,float,0 .. 3,1,/p/grid/b2/speedMul,/pn/grid/b2/speedMul,
grid.b2.offsetY,Bloque 2 offset Y,grid,float,0 .. 1008,0,/p/grid/b2/offsetY,/pn/grid/b2/offsetY,
grid.b2.offsetX,Bloque 2 offset X,grid,float,-1008 .. 1008,0,/p/grid/b2/offsetX,/pn/grid/b2/offsetX,
grid.b3.enabled,Bloque 3,grid,bool,false | true,false,/p/grid/b3/enabled,/pn/grid/b3/enabled,
grid.b3.dir,Bloque 3 sentido,grid,int,-1 .. 1,1,/p/grid/b3/dir,/pn/grid/b3/dir,
grid.b3.speedMul,Bloque 3 vel.,grid,float,0 .. 3,1,/p/grid/b3/speedMul,/pn/grid/b3/speedMul,
grid.b3.offsetY,Bloque 3 offset Y,grid,float,0 .. 1008,0,/p/grid/b3/offsetY,/pn/grid/b3/offsetY,
grid.b3.offsetX,Bloque 3 offset X,grid,float,-1008 .. 1008,0,/p/grid/b3/offsetX,/pn/grid/b3/offsetX,
grid.b4.enabled,Bloque 4,grid,bool,false | true,false,/p/grid/b4/enabled,/pn/grid/b4/enabled,
grid.b4.dir,Bloque 4 sentido,grid,int,-1 .. 1,1,/p/grid/b4/dir,/pn/grid/b4/dir,
grid.b4.speedMul,Bloque 4 vel.,grid,float,0 .. 3,1,/p/grid/b4/speedMul,/pn/grid/b4/speedMul,
grid.b4.offsetY,Bloque 4 offset Y,grid,float,0 .. 1008,0,/p/grid/b4/offsetY,/pn/grid/b4/offsetY,
grid.b4.offsetX,Bloque 4 offset X,grid,float,-1008 .. 1008,0,/p/grid/b4/offsetX,/pn/grid/b4/offsetX,
grid.b5.enabled,Bloque 5,grid,bool,false | true,false,/p/grid/b5/enabled,/pn/grid/b5/enabled,
grid.b5.dir,Bloque 5 sentido,grid,int,-1 .. 1,1,/p/grid/b5/dir,/pn/grid/b5/dir,
grid.b5.speedMul,Bloque 5 vel.,grid,float,0 .. 3,1,/p/grid/b5/speedMul,/pn/grid/b5/speedMul,
grid.b5.offsetY,Bloque 5 offset Y,grid,float,0 .. 1008,0,/p/grid/b5/offsetY,/pn/grid/b5/offsetY,
grid.b5.offsetX,Bloque 5 offset X,grid,float,-1008 .. 1008,0,/p/grid/b5/offsetX,/pn/grid/b5/offsetX,
sweep.enabled,Barridos,sweep,bool,false | true,false,/p/sweep/enabled,/pn/sweep/enabled,
sweep.opacity,Opacidad,sweep,float,0 .. 1,1,/p/sweep/opacity,/pn/sweep/opacity,
sweep.duration,Duración (s),sweep,float,0.1 .. 6,1.2,/p/sweep/duration,/pn/sweep/duration,
sweep.length,Largo (frac. alto),sweep,float,0.1 .. 1.5,0.7,/p/sweep/length,/pn/sweep/length,
