"id","perfil","etiqueta","tipo","canal","nota","cc","osc","destino","salida","modo","min","max","argumento","formula","escenas"
"vvvv.scene","MIDI SEQ PLAYER.v4p","Escena — canal 10 / notas 0–71","note","10","0..71","","","scene.goto","action","trigger","","","","",""
"vvvv.video.0.clip","MIDI SEQ PLAYER.v4p","Franja 1 — secuencia","note","13","0","","","players.0.clip","control","velocity","0","68","","floor(velocity / 127 × 68) % 68",""
"vvvv.video.0.gate","MIDI SEQ PLAYER.v4p","Franja 1 — video","note","13","0","","","mix.stripes.0.video","control","gate","","","","",""
"vvvv.milky.0.preset","MIDI SEQ PLAYER.v4p","Franja 1 — preset Milky","note","13","6","","","milky.stripes.0.preset","control","velocity","0","3","","floor(velocity / 127 × 3)",""
"vvvv.milky.0.gate","MIDI SEQ PLAYER.v4p","Franja 1 — Milky","note","13","6","","","mix.stripes.0.milky","control","gate","","","","",""
"vvvv.blocks.0","MIDI SEQ PLAYER.v4p","Bloque 1","note","7","1","","","graphics.blocks.0","control","gate","","","","",""
"vvvv.video.1.clip","MIDI SEQ PLAYER.v4p","Franja 2 — secuencia","note","13","1","","","players.1.clip","control","velocity","0","68","","floor(velocity / 127 × 68) % 68",""
"vvvv.video.1.gate","MIDI SEQ PLAYER.v4p","Franja 2 — video","note","13","1","","","mix.stripes.1.video","control","gate","","","","",""
"vvvv.milky.1.preset","MIDI SEQ PLAYER.v4p","Franja 2 — preset Milky","note","13","7","","","milky.stripes.1.preset","control","velocity","0","3","","floor(velocity / 127 × 3)",""
"vvvv.milky.1.gate","MIDI SEQ PLAYER.v4p","Franja 2 — Milky","note","13","7","","","mix.stripes.1.milky","control","gate","","","","",""
"vvvv.blocks.1","MIDI SEQ PLAYER.v4p","Bloque 2","note","7","2","","","graphics.blocks.1","control","gate","","","","",""
"vvvv.video.2.clip","MIDI SEQ PLAYER.v4p","Franja 3 — secuencia","note","13","2","","","players.2.clip","control","velocity","0","68","","floor(velocity / 127 × 68) % 68",""
"vvvv.video.2.gate","MIDI SEQ PLAYER.v4p","Franja 3 — video","note","13","2","","","mix.stripes.2.video","control","gate","","","","",""
"vvvv.milky.2.preset","MIDI SEQ PLAYER.v4p","Franja 3 — preset Milky","note","13","8","","","milky.stripes.2.preset","control","velocity","0","3","","floor(velocity / 127 × 3)",""
"vvvv.milky.2.gate","MIDI SEQ PLAYER.v4p","Franja 3 — Milky","note","13","8","","","mix.stripes.2.milky","control","gate","","","","",""
"vvvv.blocks.2","MIDI SEQ PLAYER.v4p","Bloque 3","note","7","3","","","graphics.blocks.2","control","gate","","","","",""
"vvvv.video.3.clip","MIDI SEQ PLAYER.v4p","Franja 4 — secuencia","note","13","3","","","players.3.clip","control","velocity","0","68","","floor(velocity / 127 × 68) % 68",""
"vvvv.video.3.gate","MIDI SEQ PLAYER.v4p","Franja 4 — video","note","13","3","","","mix.stripes.3.video","control","gate","","","","",""
"vvvv.milky.3.preset","MIDI SEQ PLAYER.v4p","Franja 4 — preset Milky","note","13","9","","","milky.stripes.3.preset","control","velocity","0","3","","floor(velocity / 127 × 3)",""
"vvvv.milky.3.gate","MIDI SEQ PLAYER.v4p","Franja 4 — Milky","note","13","9","","","mix.stripes.3.milky","control","gate","","","","",""
"vvvv.blocks.3","MIDI SEQ PLAYER.v4p","Bloque 4","note","7","4","","","graphics.blocks.3","control","gate","","","","",""
"vvvv.video.4.clip","MIDI SEQ PLAYER.v4p","Franja 5 — secuencia","note","13","4","","","players.4.clip","control","velocity","0","68","","floor(velocity / 127 × 68) % 68",""
"vvvv.video.4.gate","MIDI SEQ PLAYER.v4p","Franja 5 — video","note","13","4","","","mix.stripes.4.video","control","gate","","","","",""
"vvvv.milky.4.preset","MIDI SEQ PLAYER.v4p","Franja 5 — preset Milky","note","13","10","","","milky.stripes.4.preset","control","velocity","0","3","","floor(velocity / 127 × 3)",""
"vvvv.milky.4.gate","MIDI SEQ PLAYER.v4p","Franja 5 — Milky","note","13","10","","","mix.stripes.4.milky","control","gate","","","","",""
"vvvv.blocks.4","MIDI SEQ PLAYER.v4p","Bloque 5","note","7","5","","","graphics.blocks.4","control","gate","","","","",""
"vvvv.video.5.clip","MIDI SEQ PLAYER.v4p","Franja 6 — secuencia","note","13","5","","","players.5.clip","control","velocity","0","68","","floor(velocity / 127 × 68) % 68",""
"vvvv.video.5.gate","MIDI SEQ PLAYER.v4p","Franja 6 — video","note","13","5","","","mix.stripes.5.video","control","gate","","","","",""
"vvvv.milky.5.preset","MIDI SEQ PLAYER.v4p","Franja 6 — preset Milky","note","13","11","","","milky.stripes.5.preset","control","velocity","0","3","","floor(velocity / 127 × 3)",""
"vvvv.milky.5.gate","MIDI SEQ PLAYER.v4p","Franja 6 — Milky","note","13","11","","","mix.stripes.5.milky","control","gate","","","","",""
"vvvv.blocks.5","MIDI SEQ PLAYER.v4p","Bloque 6","note","7","6","","","graphics.blocks.5","control","gate","","","","",""
"vvvv.full.clip","MIDI SEQ PLAYER.v4p","Video completo — secuencia","note","13","12","","","player.full.clip","control","velocity","0","68","","floor(velocity / 127 × 68) % 68",""
"vvvv.full.video","MIDI SEQ PLAYER.v4p","Video completo — visible","note","13","12","","","mix.fullVideo","control","gate","","","","",""
"vvvv.full.milky.preset","MIDI SEQ PLAYER.v4p","Milky completo — preset","note","13","13","","","milky.full.preset","control","velocity","0","4","","",""
"vvvv.full.milky.gate","MIDI SEQ PLAYER.v4p","Milky completo — visible","note","13","13","","","mix.fullMilky","control","gate","","","","",""
"vvvv.button","MIDI SEQ PLAYER.v4p","BOTON — mantener","note","1","0","","","final.button","control","gate","","","","",""
"vvvv.kick1","MIDI SEQ PLAYER.v4p","Kick1","note","1","0","","","kick1","action","trigger","","","","",""
"vvvv.kick.all","MIDI SEQ PLAYER.v4p","Kick all — flanco del OR","note","1","36|41|48|50","","","kick","action","trigger","","","","",""
"vvvv.kick.warp","MIDI SEQ PLAYER.v4p","Kick WARP — OR sostenido","note","1","48|50","","","events.kickWarp","control","gate","","","","",""
"vvvv.snare.held","MIDI SEQ PLAYER.v4p","Snare all — OR sostenido","note","1","37|42","","","events.snareHeld","control","gate","","","","",""
"vvvv.snare.edge","MIDI SEQ PLAYER.v4p","Snare — notificación del primer flanco","note","1","37|42","","","snare","action","trigger","","","","",""
"vvvv.percussion","MIDI SEQ PLAYER.v4p","Perc any","note","2","36..53","","","percussion","action","trigger","","","","",""
"vvvv.ink","MIDI SEQ PLAYER.v4p","INK","note","7","0","","","ink.trigger","action","trigger","","","","",""
"vvvv.osc.fx1","player maximus.v4p → osc send.v4p","OSC /fx1","osc","","","","/fx1","final.fx1","control","set","","","","Numeric argument passed directly, without normalization or clamp.",""
"vvvv.osc.fx2","player maximus.v4p → osc send.v4p","OSC /fx2","osc","","","","/fx2","final.fx2","control","set","","","","Numeric argument passed directly, without normalization or clamp.",""
"vvvv.osc.fx4","player maximus.v4p → osc send.v4p","OSC /fx4","osc","","","","/fx4","final.fx4","control","set","","","","Numeric argument passed directly, without normalization or clamp.",""
"web.cc.composition.fullMilky.blend","parte2-public-v1","Control público · Mezcla","cc","11","","0","","composition.fullMilky.blend","control","range","0","1","","CC / 127 → registry enum bins",""
